time, x, xd
7.362000, 1.459658, 2.239219
7.372000, 1.481606, 2.140419
7.382000, 1.502566, 2.041619
7.392000, 1.522537, 1.942819
7.402000, 1.541521, 1.844019
7.412000, 1.559516, 1.745219
7.422000, 1.576524, 1.646419
7.432000, 1.592544, 1.547619
7.442000, 1.607575, 1.448819
7.452000, 1.621619, 1.350019
7.462000, 1.634674, 1.251219
7.472000, 1.646742, 1.152419
7.482000, 1.657822, 1.053619
7.492000, 1.667913, 0.954819
7.502000, 1.677017, 0.856019
7.512000, 1.685132, 0.757219
7.522000, 1.692260, 0.658419
7.532000, 1.698399, 0.559619
7.542000, 1.703551, 0.460819
7.552000, 1.707715, 0.362019
7.562000, 1.710890, 0.263219
7.572000, 1.713078, 0.164419
7.582000, 1.714277, 0.065619
7.592000, 1.714489, -0.033181
7.602000, 1.713713, -0.131981
7.612000, 1.711948, -0.230781
7.622000, 1.709196, -0.329581
7.632000, 1.705455, -0.428381
7.642000, 1.700727, -0.527181
7.652000, 1.695011, -0.625981
7.662000, 1.688306, -0.724781
7.672000, 1.680614, -0.823581
7.682000, 1.671933, -0.922381
7.692000, 1.662265, -1.021181
7.702000, 1.651609, -1.119981
7.712000, 1.639964, -1.218781
7.722000, 1.627332, -1.317581
7.732000, 1.613711, -1.416381
7.742000, 1.599103, -1.515181
7.752000, 1.583506, -1.613981
7.762000, 1.566922, -1.712781
7.772000, 1.549350, -1.811581
7.782000, 1.530789, -1.910381
7.792000, 1.511241, -2.009181
7.802000, 1.490704, -2.107981
7.812000, 1.469180, -2.206781
7.822000, 1.446668, -2.305581
7.832000, 1.423167, -2.404381
7.842000, 1.398679, -2.503181
7.852000, 1.373202, -2.601981
7.862000, 1.346738, -2.700781
7.872000, 1.319286, -2.799581
7.882000, 1.290845, -2.898381
7.892000, 1.261417, -2.997181
7.902000, 1.231000, -3.095981
7.912000, 1.199596, -3.194781
7.922000, 1.167204, -3.293581
7.932000, 1.133823, -3.392381
7.942000, 1.099455, -3.491181
7.952000, 1.064098, -3.589981
7.962000, 1.027754, -3.688781
7.972000, 0.990421, -3.787581
7.982000, 0.952101, -3.886381
7.992000, 0.912793, -3.985181
8.002000, 0.872496, -4.083981
8.013000, 0.827029, -4.192661
8.024000, 0.780366, -4.301341
8.035000, 0.732508, -4.410021
8.046000, 0.683455, -4.518701
8.057000, 0.633205, -4.627381
8.068000, 0.581761, -4.736061
8.079000, 0.529121, -4.844741
8.090000, 0.475285, -4.953421
8.101000, 0.420254, -5.062101
8.112000, 0.364028, -5.170781
8.123000, 0.306606, -5.279461
8.134000, 0.247988, -5.388141
8.145000, 0.188175, -5.496821
8.156000, 0.127167, -5.605501
8.167000, 0.064963, -5.714181
8.178000, 0.001564, -5.822861
8.189000, 0.050477, 4.567393
8.200000, 0.100175, 4.458713
8.211000, 0.148677, 4.350033
8.222000, 0.195984, 4.241353
8.233000, 0.242095, 4.132673
8.244000, 0.287011, 4.023993
8.255000, 0.330732, 3.915313
8.266000, 0.373257, 3.806633
8.277000, 0.414587, 3.697953
8.288000, 0.454721, 3.589273
8.299000, 0.493659, 3.480593
8.310000, 0.531402, 3.371913
8.321000, 0.567950, 3.263233
8.332000, 0.603302, 3.154553
8.343000, 0.637459, 3.045873
8.354000, 0.670420, 2.937193
8.365000, 0.702186, 2.828513
8.376000, 0.732756, 2.719833
8.387000, 0.762131, 2.611153
8.398000, 0.790310, 2.502473
8.409000, 0.817294, 2.393793
8.420000, 0.843082, 2.285113
8.431000, 0.867675, 2.176433
8.442000, 0.891072, 2.067753
8.453000, 0.913274, 1.959073
8.464000, 0.934281, 1.850393
8.475000, 0.954092, 1.741713
8.486000, 0.972707, 1.633033
8.497000, 0.990127, 1.524353
8.508000, 1.006351, 1.415673
8.519000, 1.021380, 1.306993
